gel,name,transmission,source,added
R02,Bastard Amber,0.78,us.rosco.com product page,2026.09.22
R33,No Color Pink,0.65,us.rosco.com product page,2026.09.22
R52,Light Lavender,0.26,us.rosco.com product page,2026.09.22
R60,No Color Blue,0.62,us.rosco.com product page,2026.09.22
R80,Primary Blue,0.09,us.rosco.com product page,2026.09.22
R3202,Full Blue (CTB),0.36,us.rosco.com product page,2026.09.22
R3204,Half Blue (1/2 CTB),0.52,Rosco figure via B&H / Performance Audio listings,2026.09.22
R3208,Quarter Blue (1/4 CTB),0.74,Rosco figure via B&H / Set Shop listings,2026.09.22
R119,Light Hamburg Frost,0.893,"Rosco myColor swatch app, read by Jerry 2026.09.22",2026.09.22
R114,Hamburg Frost,0.888,"Rosco myColor swatch app, read by Jerry 2026.09.22",2026.09.22
R132,Quarter Hamburg Frost,0.901,"Rosco myColor swatch app, read by Jerry 2026.09.22",2026.09.22
